id;name;full_name;birth_date;height_cm;weight_kgs;positions;nationality;overall_rating;potential;preferred_foot;international_reputation;weak_foot;skill_moves;body_type;difficulty
9865;L. Kalludra;Liridon Kalludra;11/5/1991;170.18;68.0;CM,LM,CAM;Sweden;64;65;Right;1;3;3;Normal;Very Hard
9866;D. Osei Yaw;Derick Osei Yaw;9/10/1998;187.96;79.8;RW,LW,ST;France;64;75;Right;1;3;3;Normal;Very Hard
9867;M. Gebers;Marcel Gebers;6/5/1986;187.96;76.2;CB,CDM;Germany;64;64;Right;1;2;2;Normal;Very Hard
9868;N. Karger;Nico Karger;2/1/1993;182.88;73.9;LM,ST,LW;Germany;64;65;Right;1;4;2;Lean;Very Hard
9869;R. Bowman;Ryan Bowman;11/30/1991;185.42;83.0;ST;England;64;64;Right;1;3;2;Stocky;Very Hard
9870;A. Aremu;Afeez Aremu;10/3/1999;154.94;77.1;CDM,CM;Nigeria;64;78;Right;1;3;3;Normal;Very Hard
9871;S. Ylätupa;Saku Ylätupa;8/4/1999;170.18;67.1;LW,CAM;Finland;64;77;Left;1;4;3;Normal;Very Hard
9872;M. Heinloth;Michael Heinloth;2/9/1992;152.4;74.8;RB;Germany;64;65;Right;1;4;2;Normal;Very Hard
9873;J. Aguirre;Juan Felipe Aguirre Tabares;8/29/1996;185.42;68.9;CB;Colombia;64;72;Left;1;3;2;Normal;Very Hard
9874;G. Loiacono;Giuseppe Loiacono;10/6/1991;182.88;77.1;CB,RB;Italy;64;64;Right;1;2;2;Normal;Very Hard
9875;M. Soisalo;Mikael Soisalo;4/24/1998;152.4;74.8;RM,RW;Finland;64;75;Right;1;3;3;Lean;Very Hard
9876;Hong Jeong Un;홍정운 洪俊涣;11/29/1994;187.96;76.2;CB;Korea Republic;64;72;Right;1;3;2;Normal;Very Hard
9877;P. Ceccaroni;Pietro Ceccaroni;12/21/1995;187.96;76.2;CB;Italy;64;70;Left;1;3;2;Lean;Very Hard
9878;J. Aigner;Johannes Aigner;3/16/1981;185.42;81.2;ST;Austria;64;64;Right;1;3;2;Normal;Very Hard
9879;A. Gilliead;Alex Gilliead;2/11/1996;182.88;69.9;LM,RM;England;64;71;Right;1;3;3;Lean;Very Hard
9880;Kim Soo Beom;김수범 金秀范;10/2/1990;175.26;66.2;LB,LM;Korea Republic;64;64;Right;1;5;2;Normal;Very Hard
9881;Z. Ounalli;Zied Ounalli;2/8/1994;175.26;69.9;LM;Tunisia;64;67;Right;1;3;3;Normal;Very Hard
9882;A. Danzi;Andrea Danzi;2/25/1999;175.26;69.9;CDM,CM;Italy;64;76;Right;1;3;3;Normal;Very Hard
9883;H. Weigelt;Henri Weigelt;1/17/1998;187.96;74.8;CB;Germany;64;76;Left;1;4;2;Lean;Very Hard
9884;Z. Sanogo;Zakaria Sanogo;12/11/1996;170.18;59.9;CF,RM;Burkina Faso;64;74;Right;1;3;3;Lean;Very Hard
9885;C. Nielsen;Casper Nielsen;4/29/1994;154.94;76.2;CM,LM,RM;Denmark;64;67;Right;1;3;3;Normal;Very Hard
9886;M. Pedersen;Marc Pedersen;7/31/1989;182.88;87.1;CB;Denmark;64;64;Right;1;3;2;Stocky;Very Hard
9887;A. Rizzo;Alberto Rizzo;4/25/1997;175.26;69.9;LB,LM;Italy;64;76;Left;1;3;2;Normal;Very Hard
9888;T. Amang;Thomas Olivier Amang;2/9/1998;175.26;78.0;ST;Cameroon;64;76;Right;1;3;2;Stocky;Very Hard
9889;S. Piesinger;Simon Piesinger;5/13/1992;193.04;83.9;CDM,CM;Austria;64;66;Right;1;3;2;Lean;Very Hard
9890;D. Perquis;Damien Perquis;4/10/1984;185.42;81.2;CB,CDM;Poland;64;64;Right;1;3;2;Normal;Very Hard
9891;B. Hamill;Brendan Hamill;9/18/1992;185.42;78.9;CB;Australia;64;67;Right;1;3;2;Normal;Very Hard
9892;J. García;John Edison García Zabala;6/4/1989;185.42;84.8;CB;Colombia;64;64;Right;1;3;2;Normal;Very Hard
9893;G. Martínez;Gerson Sebastian Martínez Arredondo;1/10/1989;152.4;73.9;ST,LM,RM;Chile;64;64;Right;1;3;2;Normal;Very Hard
9894;M. Ferrier;Morgan Ferrier;11/15/1994;182.88;74.8;ST;England;64;68;Right;1;3;2;Normal;Very Hard
9895;M. Martínez;Maximiliano Ramón Martínez;1/9/1992;152.4;68.9;LB,LWB;Argentina;64;65;Left;1;3;2;Normal;Very Hard
9896;Bruno Silva;Bruno da Silva Fonseca;9/14/1992;154.94;73.0;LB;Brazil;64;67;Left;1;2;2;Normal;Very Hard
9897;N. Knight-Percival;Nathaniel Knight-Percival;3/31/1987;182.88;73.0;CB;England;64;64;Left;1;3;2;Normal;Very Hard
9898;Y. Demoncy;Yohann Demoncy;4/7/1996;154.94;68.0;CDM,CM;France;64;72;Right;1;2;3;Normal;Very Hard
9899;L. Gonnelli;Lorenzo Gonnelli;6/28/1993;182.88;72.1;CB;Italy;64;70;Right;1;3;2;Lean;Very Hard
9900;R. Moreira;Ricardo Ariel Moreira;7/15/1996;187.96;91.2;CB;Argentina;64;77;Right;1;3;2;Normal;Very Hard
9901;M. Wieteska;Mateusz Wieteska;2/11/1997;187.96;77.1;CB,RB;Poland;64;72;Right;1;2;2;Lean;Very Hard
9902;M. Meilinger;Marco Meilinger;8/3/1991;154.94;77.1;RM,LM;Austria;64;64;Left;1;3;3;Normal;Very Hard
9903;G. Álvarez;Gilbert Álvarez;4/7/1992;187.96;81.2;ST;Bolivia;64;67;Right;1;4;3;Normal;Very Hard
9904;Romera;José Antonio Romera Navarro;9/8/1987;152.4;69.9;RB;Spain;64;64;Right;1;3;2;Normal;Very Hard
9905;Eric García;Eric García Martret;1/9/2001;182.88;78.9;CB;Spain;64;84;Right;1;3;2;Lean;Very Hard
9906;A. Al Nemer;Ali Al Nemer;8/25/1991;172.72;59.9;CAM,LM,CM;Saudi Arabia;64;65;Right;1;3;4;Normal;Very Hard
9907;K. Baccus;Kearyn Baccus;9/5/1991;154.94;74.8;CDM,CM;Australia;64;66;Right;1;4;2;Lean;Very Hard
9908;M. Cebula;Marcin Cebula;12/6/1995;152.4;64.9;LM;Poland;64;69;Right;1;3;3;Lean;Very Hard
9909;O. Ademi;Orhan Ademi;10/28/1991;187.96;84.8;ST;Switzerland;64;65;Right;1;3;2;Normal;Very Hard
9910;D. Hofbauer;Dominik Hofbauer;9/19/1990;154.94;76.2;CM,CAM,CDM;Austria;64;64;Left;1;3;3;Normal;Very Hard
9911;Lee Dong Su;이동수 李东洙;6/3/1994;185.42;72.1;CM;Korea Republic;64;71;Right;1;3;2;Lean;Very Hard
9912;J. Clarke;Josh Clarke;7/5/1994;172.72;69.9;RB,LB,RM;England;64;68;Right;1;3;3;Lean;Very Hard
9913;A. Zamora;Alonso René Zamora Barrera;11/7/1991;152.4;73.9;CB;Mexico;64;65;Right;1;3;2;Lean;Very Hard
9914;A. Marin;Antonio Marin;1/9/2001;182.88;78.0;LW,RW,CAM;Croatia;64;85;Right;1;4;3;Lean;Very Hard
9915;R. Iio;飯尾 竜太朗;1/30/1991;175.26;68.9;RM;Japan;64;64;Left;1;4;3;Lean;Very Hard
9916;A. Bernede;Antoine Bernede;5/26/1999;152.4;73.9;CAM,CM;France;64;75;Left;1;3;3;Normal;Very Hard
9917;I. Çipe;İsmail Çipe;1/5/1995;198.12;82.1;GK;Turkey;64;69;Right;1;2;1;Normal;Very Hard
9918;N. Delgadillo;Nicolás Delgadillo;10/2/1997;152.4;69.9;LW,RW,CAM;Argentina;64;79;Left;1;3;3;Normal;Very Hard
9919;R. Pietrzak;Rafał Pietrzak;1/30/1992;175.26;68.9;LB;Poland;64;65;Left;1;2;2;Normal;Very Hard
9920;S. Mamba;Streli Mamba;6/17/1994;152.4;74.8;ST;Germany;64;68;Right;1;4;2;Stocky;Very Hard
9921;M. Ellingsen;Martin Skjelbreid Ellingsen;5/4/1995;154.94;74.8;CM,CDM;Norway;64;72;Left;1;3;3;Normal;Very Hard
9922;L. Ainsworth;Lionel Ainsworth;10/1/1987;165.1;59.9;RM,LM;England;64;64;Right;1;3;3;Lean;Very Hard
9923;P. Schmidt;Patrick Schmidt;7/22/1998;152.4;73.0;ST;Austria;64;74;Right;1;3;2;Normal;Very Hard
9924;Joaninho Chagas;Joaninho Marvin Chagas Silva;2/29/1988;152.4;69.9;CAM;Brazil;64;64;Right;1;3;2;Normal;Very Hard
9925;K. Bryan;Kean Bryan;11/1/1996;185.42;72.1;CB,CDM,CM;England;64;75;Left;1;2;2;Normal;Very Hard
9926;M. Harriman;Michael Harriman;10/23/1992;167.64;73.9;RB;Republic of Ireland;64;65;Right;1;2;2;Lean;Very Hard
9927;S. Svarnas;Efstratios Svarnas;11/11/1994;182.88;76.2;CB;Greece;64;72;Right;1;3;2;Normal;Very Hard
9928;R. Hardie;Ryan Hardie;3/17/1997;187.96;74.8;ST;Scotland;64;76;Right;1;3;2;Lean;Very Hard
9929;N. Fitzgerald;Nick Fitzgerald;2/13/1992;175.26;69.9;LM,RM;Australia;64;64;Right;1;3;3;Normal;Very Hard
9930;M. Szczepaniak;Mateusz Szczepaniak;1/23/1991;182.88;73.0;ST,RM;Poland;64;64;Right;1;3;3;Normal;Very Hard
9931;L. Geertruida;Lutsharel Geertruida;7/18/2000;185.42;74.8;CB,RB;Netherlands;64;80;Right;1;3;2;Normal;Very Hard
9932;M. Dembélé;Malaly Dembélé;6/17/1997;182.88;74.8;ST,LM,LW;France;64;72;Right;1;3;2;Normal;Very Hard
9933;Kiki;Christian Neiva Afonso;12/10/1994;154.94;73.9;LB;Portugal;64;71;Left;1;3;2;Normal;Very Hard
9934;Dolly Menga;Dolly Domingos Menga;5/2/1993;154.94;73.0;ST,RM;Angola;64;67;Left;1;4;3;Stocky;Very Hard
9935;K. Furuhashi;古橋 亨梧;1/20/1995;170.18;63.0;LW,CF;Japan;64;69;Right;1;3;3;Lean;Very Hard
9936;A. Masuyama;増山 朝陽;1/29/1997;172.72;72.1;RW,LW,ST;Japan;64;69;Right;1;3;3;Normal;Very Hard
9937;B. Jopek;Björn Jopek;8/24/1993;182.88;77.1;CM,CAM;Germany;64;69;Left;1;4;3;Lean;Very Hard
9938;J. Méndez;Javier Méndez;12/5/1994;182.88;83.0;CDM;Uruguay;64;68;Right;1;3;2;Normal;Very Hard
9939;Marcelo Freitas;Marcelo de Freitas Costa;6/1/1994;182.88;76.2;CM,CDM,CAM,CF;Brazil;64;68;Right;1;4;3;Lean;Very Hard
9940;D. Frieser;Dominik Frieser;9/9/1993;152.4;78.0;RM;Austria;64;66;Right;1;3;2;Normal;Very Hard
9941;A. Pierre;Aaron Pierre;2/17/1993;185.42;88.0;CB;Grenada;64;69;Left;1;3;2;Stocky;Very Hard
9942;Cidinho;Alcides  de Souza Faria Junior;1/28/1993;170.18;63.0;CAM;Brazil;64;67;Right;1;3;3;Lean;Very Hard
9943;J. Arvidsson;Jesper Arvidsson;1/1/1985;154.94;78.9;LB;Sweden;64;64;Left;1;3;2;Normal;Very Hard
9944;Zhao Honglue;赵宏略;12/4/1989;154.94;76.2;LB,RB,RM,CDM;China PR;64;64;Left;1;3;3;Lean;Very Hard
9945;J. Bowery;Jordan Bowery;7/2/1991;185.42;76.2;ST,RW;England;64;65;Right;2;3;2;Normal;Hard
9946;C. Gustafsson;Christer Gustafsson;3/31/1987;154.94;76.2;CM,CDM;Sweden;64;64;Right;1;3;2;Normal;Very Hard
9947;André Sousa;André Martins de Sousa;2/26/1998;175.26;67.1;LB;Portugal;64;75;Left;1;3;2;Lean;Very Hard
9948;T. Nishimura;西村 拓真;10/22/1996;152.4;69.9;CF,ST,CM;Japan;64;70;Right;1;3;2;Lean;Very Hard
9949;R. Mmaee;Ryan Mmaee;4/1/1997;182.88;78.9;ST;Belgium;64;73;Right;1;3;3;Normal;Very Hard
9950;Z. Gordon;Ziggy Gordon;4/23/1993;154.94;77.1;CB,RB,RWB;Scotland;64;67;Right;1;4;2;Normal;Very Hard
9951;H. Sulaimani;Hussein Omar Abdul Ghani Sulaimani;1/21/1977;172.72;69.9;LB;Saudi Arabia;64;64;Left;1;3;3;Lean;Very Hard
9952;J. Ward;Joe Ward;8/22/1995;167.64;68.0;RM,LM,RB,CM;England;64;72;Right;1;2;3;Lean;Very Hard
9953;B. Stevenson;Ben Stevenson;3/23/1997;182.88;67.1;CM,CDM;England;64;75;Right;1;4;3;Lean;Very Hard
9954;J. Szmatuła;Jakub Szmatuła;3/22/1981;187.96;81.2;GK;Poland;64;64;Right;1;3;1;Normal;Very Hard
9955;P. Sweeney;Pierce Sweeney;9/11/1994;152.4;79.8;RB;Republic of Ireland;64;67;Right;1;3;2;Normal;Very Hard
9956;A. Carleton;Andrew Carleton;6/22/2000;170.18;66.2;LM,RM,ST,CAM;United States;64;79;Right;1;4;3;Normal;Very Hard
9957;A. Fukuta;福田 晃斗;5/1/1992;170.18;64.9;CM;Japan;64;65;Right;1;3;3;Lean;Very Hard
9958;S. Al Ghannam;Sultan Abdullah Al Ghannam;5/6/1994;175.26;62.1;RB;Saudi Arabia;64;68;Right;1;2;3;Normal;Very Hard
9959;P. Salomon;Patrick Salomon;6/10/1988;152.4;69.9;CM,CDM;Austria;64;64;Right;1;3;2;Normal;Very Hard
9960;F. Bechtholdt;Franco Bechtholdt;8/15/1993;152.4;73.9;CDM,CB;Argentina;64;67;Right;1;2;2;Lean;Very Hard
9961;M. Chacón;Michael Steven Chacón Ibargüen;4/11/1994;175.26;72.1;CM,CAM;Netherlands;64;68;Right;1;3;2;Normal;Very Hard
9962;L. Wales;Lachlan Wales;10/19/1997;154.94;73.9;ST,LM,RM;Australia;64;70;Right;1;4;2;Normal;Very Hard
9963;Zhu Jianrong;朱建荣;7/12/1991;185.42;82.1;ST;China PR;64;65;Left;1;4;2;Normal;Very Hard
9964;R. Cepeda;Rubén Cepeda;6/17/1994;167.64;66.2;CM,CDM;Chile;64;71;Right;1;3;2;Lean;Very Hard
9965;N. Fazzi;Nicolò Fazzi;3/2/1995;182.88;78.0;LM,LB;Italy;64;69;Right;1;3;2;Normal;Very Hard
9966;P. Staikos;Paschalis Staikos;2/8/1996;152.4;74.8;CDM;Greece;64;73;Right;1;3;2;Normal;Very Hard
9967;Claudio Mouria;Claudio Igor Mouria Silva;2/29/1992;182.88;78.0;CAM;Brazil;64;64;Right;1;3;2;Normal;Very Hard
9968;M. Vitzthum;Michael Vitzthum;6/20/1992;185.42;78.0;LB,CDM;Germany;64;66;Left;1;3;2;Normal;Very Hard
9969;B. Rowe;Brian Rowe;11/16/1988;185.42;83.9;GK;United States;64;65;Right;1;2;1;Lean;Very Hard
9970;C. Reilly;Callum Reilly;10/3/1993;185.42;78.0;CM;Republic of Ireland;64;67;Left;1;4;2;Lean;Very Hard
9971;E. Loiodice;Enzo Loiodice;11/27/2000;175.26;62.1;CM,CDM;France;64;85;Left;1;3;3;Lean;Very Hard
9972;T. Gebauer;Thomas Gebauer;6/30/1982;193.04;88.0;GK;Austria;64;64;Right;1;3;1;Normal;Very Hard
9973;F. Nouble;Frank Nouble;9/24/1991;190.5;82.1;LM,ST;England;64;64;Right;1;4;3;Stocky;Very Hard
9974;D. Moxey;Dean Moxey;1/14/1986;154.94;69.9;LB,CB;England;64;64;Left;1;3;2;Lean;Very Hard
9975;T. Berni;Tommaso Berni;3/6/1983;185.42;79.8;GK;Italy;64;64;Right;1;2;1;Normal;Very Hard
9976;Y. Díaz;Yilton Díaz;6/12/1992;152.4;69.9;RM,LM;Colombia;64;65;Right;1;3;2;Normal;Very Hard
9977;R. Poole;Regan Poole;6/18/1998;182.88;73.9;CB,CDM;Wales;64;76;Right;1;3;2;Normal;Very Hard
9978;B. Bellot;Benjamin Bellot;7/30/1990;185.42;82.1;GK;Germany;64;64;Right;1;3;1;Lean;Very Hard
9979;C. Thompson;Curtis Thompson;9/2/1993;152.4;77.1;CM;England;64;67;Right;1;3;3;Normal;Very Hard
9980;C. Orrantía;Carlos Emilio Orrantía Treviño;2/1/1991;175.26;63.0;RB,RM;Mexico;64;64;Right;1;3;3;Lean;Very Hard
9981;M. Adams;Mohammed Adams;9/23/1996;167.64;74.8;CDM,CM;England;64;73;Right;1;3;2;Normal;Very Hard
9982;J. Kusukami;楠神 順平;8/27/1987;170.18;63.0;RM,LM;Japan;64;64;Right;1;4;4;Lean;Very Hard
9983;S. Saucedo;Sebastián Saucedo Mondragón;1/22/1997;170.18;66.2;LW,CAM;United States;64;74;Right;1;2;3;Lean;Very Hard
9984;A. Seck;Abdoulaye Seck;6/4/1992;193.04;94.8;CB;Senegal;64;68;Right;1;4;2;Stocky;Very Hard
9985;S. Meusburger;Stefan Meusburger;10/28/1993;187.96;81.2;CB;Austria;64;68;Left;1;4;2;Normal;Very Hard
9986;J. Colman;David Josué Colmán Escobar;7/25/1998;167.64;71.2;CAM;Paraguay;64;76;Right;1;3;3;Lean;Very Hard
9987;A. Obispo;Armando Obispo;3/5/1999;185.42;78.9;CB;Netherlands;64;78;Left;1;2;2;Normal;Very Hard
9988;K. Fila;Karol Fila;6/13/1998;154.94;72.1;RB,RM;Poland;64;75;Right;1;2;3;Normal;Very Hard
9989;J. Martínez;Jefersson Justino Martínez Valverde;8/16/1993;182.88;78.9;GK;Colombia;64;70;Right;1;3;1;Lean;Very Hard
9990;Arthur Silva;Arthur Silva Feitoza;4/26/1995;185.42;79.8;CDM,CM;Brazil;64;72;Right;1;3;2;Normal;Very Hard
9991;Y. Andia;Yonathan Wladimir Andía León;8/6/1992;175.26;71.2;CM;Chile;64;65;Right;1;3;3;Normal;Very Hard
9992;M. Browne;Marcus Browne;12/18/1997;152.4;73.9;LM,RM,CAM;England;64;79;Right;1;3;4;Normal;Very Hard
9993;F. Alastra;Fabrizio Alastra;10/1/1997;185.42;78.9;GK;Italy;64;75;Right;1;2;1;Normal;Very Hard
9994;P. Zieliński;Paweł Zieliński;7/17/1990;152.4;78.9;RB,RM;Poland;64;64;Right;1;2;2;Normal;Very Hard
9995;A. Sarcevic;Antoni Sarcevic;3/13/1992;182.88;71.2;CM,CAM,CDM;England;64;66;Right;1;2;3;Stocky;Very Hard
9996;S. Sosa;Santiago Sosa;1/3/1999;152.4;78.0;CDM;Argentina;64;80;Right;1;3;2;Normal;Very Hard
9997;B. Stokke;Benjamin Stokke;8/20/1990;190.5;89.8;ST;Norway;64;64;Left;1;3;2;Normal;Very Hard
9998;M. Haas;Manuel Haas;5/7/1996;154.94;76.2;LB,LWB;Austria;64;69;Right;1;2;2;Normal;Very Hard
9999;F. Björkén;Fritiof Björkén;1/3/1991;154.94;69.9;RB;Sweden;64;64;Right;1;3;3;Normal;Very Hard
10000;M. Andersen;Magnus Kofod Andersen;5/10/1999;175.26;72.1;CM;Denmark;64;79;Right;1;3;3;Lean;Very Hard
10001;Vasquão Junior;Allan Norberto Vasquez Sobrinho;2/29/1988;187.96;86.2;CB,CDM;Brazil;64;64;Right;1;2;2;Stocky;Very Hard
10002;A. Rodríguez;Arley José Rodríguez Henry;2/13/1993;175.26;73.9;ST,RM,RW,LM;Colombia;64;67;Right;1;3;3;Normal;Very Hard
10003;S. Coulibaly;Senou Coulibaly;9/4/1994;193.04;78.9;CB;France;64;71;Right;1;2;2;Lean;Very Hard
10004;L. Leahy;Luke Leahy;11/19/1992;152.4;73.0;LB;England;64;65;Left;1;3;2;Normal;Very Hard
10005;X. Tomas;Xavier Tomas;1/4/1986;193.04;88.0;CB;France;64;64;Right;1;3;2;Stocky;Very Hard
10006;J. Donacien;Janoi Donacien;11/3/1993;182.88;74.8;RB,LB;St Lucia;64;68;Right;1;3;2;Normal;Very Hard
10007;R. Foster;Richard Foster;7/31/1985;175.26;73.0;RB,RWB;Scotland;64;64;Right;1;3;2;Normal;Very Hard
10008;J. Obrian;Jáder Rafael Obrian Arias;5/18/1995;182.88;73.0;RM;Colombia;64;73;Right;1;3;2;Lean;Very Hard
10009;Seo Myeong Won;서명원 徐明原;4/19/1995;154.94;77.1;RM,LW;Korea Republic;64;70;Right;1;4;3;Lean;Very Hard
10010;S. Hoare;Sean Hoare;3/15/1994;187.96;74.8;CB,RB;Republic of Ireland;64;70;Right;1;2;2;Normal;Very Hard
10011;E. Pereyra;Elías Pereyra;2/15/1999;172.72;68.9;LB;Argentina;64;80;Left;1;3;2;Lean;Very Hard
10012;E. Huth;Elias Huth;2/10/1997;185.42;78.0;ST;Germany;64;74;Right;1;3;3;Normal;Very Hard
10013;S. Surridge;Sam Surridge;7/28/1998;190.5;77.1;ST;England;64;77;Right;1;3;2;Lean;Very Hard
10014;D. Wynne;Deklan Wynne;3/20/1995;152.4;74.8;CB,LB;New Zealand;64;69;Left;1;2;2;Normal;Very Hard
10015;D. Islamovic;Dino Islamovic;1/17/1994;187.96;87.1;ST;Sweden;64;68;Left;1;3;2;Normal;Very Hard
10016;Z. Jovanovic;Zoran Jovanovic;9/25/1986;170.18;58.1;CAM,ST;Sweden;64;64;Left;1;3;3;Lean;Very Hard
10017;Cho Soo Hyuk;조수혁 赵寿赫;3/18/1987;187.96;76.2;GK;Korea Republic;64;64;Right;1;3;1;Normal;Very Hard
10018;I. González;Ignacio González;11/5/1993;175.26;71.2;LM;Uruguay;64;67;Right;1;3;3;Lean;Very Hard
10019;Pablo Fernández;Pablo Fernández Blanco;9/17/1996;193.04;84.8;ST,RM,LM;Spain;64;72;Right;1;3;2;Lean;Very Hard
10020;K. Oiwa;大岩 一貴;8/17/1989;182.88;78.0;CB;Japan;64;64;Right;1;3;2;Lean;Very Hard
10021;D. Bertaud;Dimitry Bertaud;6/6/1998;154.94;84.8;GK;France;64;76;Right;1;3;1;Stocky;Very Hard
10022;M. Torres;Marlon Torres;4/17/1996;154.94;69.9;CB;Colombia;64;76;Right;1;3;2;Normal;Very Hard
10023;R. Kiernan;Robert Kiernan;1/13/1991;185.42;77.1;CB;Republic of Ireland;64;65;Right;1;3;2;Normal;Very Hard
10024;E. Oti Essigba;Emmanuel Oti Essigba;9/24/1996;172.72;73.0;LW;Ghana;64;74;Left;1;2;3;Lean;Very Hard
10025;R. Griffiths;Rostyn Griffiths;3/10/1988;187.96;86.2;CDM,CM;Australia;64;64;Right;1;4;2;Normal;Very Hard
10026;D. Donohue;Dion Donohue;8/26/1993;154.94;71.2;LB,CM,LM;Wales;64;66;Left;1;3;3;Normal;Very Hard
10027;J. Teunckens;Jens Teunckens;1/30/1998;187.96;84.8;GK;Belgium;64;73;Right;1;3;1;Normal;Very Hard
10028;O. Custodio;Olivier Custodio Da Costa;2/10/1995;152.4;76.2;CM,CDM;Switzerland;64;69;Right;1;3;3;Normal;Very Hard
10029;A. Ivan;Andreas Ivan;1/10/1995;152.4;74.8;RM,LM;Romania;64;70;Left;1;4;3;Normal;Very Hard
10030;A. Dobos;Áron Dobos;6/8/2000;175.26;69.9;RW;Hungary;64;78;Left;1;2;3;Lean;Very Hard
10031;T. Pope;Tom Pope;8/27/1985;190.5;86.2;ST;England;64;64;Right;1;3;2;Normal;Very Hard
10032;K. Enghardt;Kasper Enghardt;5/27/1992;185.42;83.0;CB;Denmark;64;66;Left;1;2;2;Normal;Very Hard
10033;Y. Hiraoka;平岡 康裕;5/23/1986;182.88;69.9;CB;Japan;64;64;Right;1;3;2;Lean;Very Hard
10034;F. Marquet;François Marquet;4/17/1995;170.18;71.2;CM,CDM;Belgium;64;69;Right;1;3;2;Normal;Very Hard
10035;D. Berntsen;Daniel Berntsen;4/4/1993;175.26;64.9;CAM,CF,LM;Norway;64;67;Left;1;2;3;Lean;Very Hard
10036;M. Bakenga;Mushagalusa Bakenga Joar Namugunga;8/8/1992;154.94;77.1;ST,LW;Norway;64;67;Right;1;3;2;Normal;Very Hard
10037;F. Al Masrahi;Faisal Al Masrahi;1/24/1993;154.94;92.1;GK;Saudi Arabia;64;67;Left;1;3;1;Stocky;Very Hard
10038;M. Matras;Mateusz Matras;1/23/1991;193.04;88.0;CDM;Poland;64;65;Right;1;3;2;Stocky;Very Hard
10039;A. Bischoff;Amaury Armindo Bischoff;3/31/1987;152.4;73.0;CM,CAM,CDM;Portugal;64;64;Right;1;2;3;Normal;Very Hard
10040;K. Nakamura;中村 慶太;6/30/1993;152.4;73.0;LW,CAM,RW;Japan;64;66;Right;1;4;3;Lean;Very Hard
10041;W. Vorsager;Wilhelm Vorsager;6/29/1997;187.96;78.0;CDM,CM,CB;Austria;64;73;Right;1;3;2;Lean;Very Hard
10042;V. Bergan;Vegard Bergan;2/20/1995;193.04;84.8;CB;Norway;64;71;Right;1;3;2;Normal;Very Hard
10043;W. Burns;Wes Burns;11/23/1994;172.72;68.0;RW,ST,RM;Wales;64;70;Right;1;3;3;Normal;Very Hard
10044;E. Moreno;Ederson Moreno;1/18/1994;175.26;68.0;CM,CDM;Colombia;64;68;Left;1;3;3;Lean;Very Hard
10045;D. Cáceres;Jorge Darío Cáceres Ovelar;1/26/1998;152.4;64.0;LB;Paraguay;64;76;Left;1;3;2;Lean;Very Hard
10046;Vagner;Vagner José Dias Goncalves;1/10/1996;170.18;67.1;RM,RW;Cape Verde;64;73;Right;1;3;3;Normal;Very Hard
10047;N. Hazazi;Naif Abdullah Hazazi;9/30/1992;175.26;69.9;CDM,CM;Saudi Arabia;64;66;Right;1;3;2;Normal;Very Hard
10048;Peixotacinho;Allison Alan Peixoto Gomes;2/29/1984;187.96;83.0;CB,RB;Brazil;64;64;Right;1;3;2;Normal;Very Hard
10049;C. Amissi;Cedric Amissi;3/20/1990;172.72;68.0;CM,CDM;Burundi;65;65;Right;1;3;3;Normal;Very Hard
10050;M. Rahn;Matthias Rahn;5/17/1990;195.58;92.1;CB;Germany;65;66;Right;1;2;2;Normal;Very Hard
10051;L. Bogdan;Luka Bogdan;3/26/1996;195.58;76.2;CB;Croatia;65;73;Right;1;2;2;Lean;Very Hard
10052;F. Okenabirhie;Fejiri Okenabirhie;2/25/1996;152.4;73.9;ST;Nigeria;65;72;Right;1;4;3;Normal;Very Hard
10053;J. Córdoba;Jherson Córdoba;2/9/1988;175.26;84.8;CDM,CM,RM;Colombia;65;65;Right;1;3;2;Stocky;Very Hard
10054;G. Beretta;Giacomo Beretta;3/14/1992;185.42;83.0;ST,RW;Italy;65;66;Right;1;4;2;Stocky;Very Hard
10055;Yang Jun A;양준아 梁准我;6/13/1989;187.96;81.2;CB;Korea Republic;65;65;Left;1;3;2;Normal;Very Hard
10056;M. Ortíz;Maximiliano Ortíz;10/11/1989;182.88;83.0;CB,CDM;Bolivia;65;65;Right;1;4;2;Stocky;Very Hard
10057;A. Matusiwa;Azor Matusiwa;4/28/1998;172.72;72.1;CDM,CM;Netherlands;65;75;Right;1;2;3;Stocky;Very Hard
10058;N. Falasco;Nicola Falasco;10/5/1993;182.88;78.9;LB,LM;Italy;65;68;Left;1;2;3;Normal;Very Hard
10059;J. Dall'Oglio;Jacopo Dall'Oglio;4/2/1992;182.88;77.1;CM,CDM;Italy;65;66;Right;1;4;3;Normal;Very Hard
10060;G. Morrissey;Gearóid Morrissey;11/17/1991;182.88;81.2;CDM,CM;Republic of Ireland;65;66;Right;1;5;2;Normal;Very Hard
10061;A. Thompson;Adam Thompson;9/28/1992;182.88;78.0;CB;Northern Ireland;65;67;Right;1;3;2;Normal;Very Hard
10062;D. Ball;David  Ball;12/14/1989;182.88;74.8;CAM,RM,LM;England;65;65;Right;1;3;3;Normal;Very Hard
10063;M. Álvarez;Milton Álvarez;1/26/1989;185.42;83.9;GK;Argentina;65;66;Left;1;3;1;Normal;Very Hard
10064;N. Sessa;Nicolás Sessa;3/23/1996;170.18;68.0;CAM,CM,RM,LM;Germany;65;72;Left;1;2;3;Lean;Very Hard
